 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1976432,202302,0001-0600,SDL.Tower,AZ,,8,,,,VMC,10,,Night,12000,,Tower SDL,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,,Ferry / Re-Positioning,,Landing,,Class E SDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 70; Flight Crew Total 2500; Flight Crew Type 600,,Situational Awareness,,,1976432,,,,,,,,,,,,Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"Medical flight - flying empty to pick up a medical team. Squawking VFR 1200 and 8 miles from SDL Runway 03. We were descending toward the airfield. At night some of the mountain terrain was difficult to see. Upon approaching a particularly high spiking terrain; we decide to stop our descent and climb a 500 feet high to avoid any potential issues. The flight continued as normal with no further irregularities. As a crew we should of spent more time reviewing any abnormal terrain in the area.",,,,"Flight crew reported high terrain near airport resulting in climb to safe altitude.",
1976435,202302,1801-2400,ZZZ.Tower,US,,,,1000,,,,,Night,,,Tower ZZZ,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,None,Personal,,Cruise,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 24; Flight Crew Total 78; Flight Crew Type 78,,Situational Awareness,,,1976435,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"Was flying over ZZZ. Terrain warning from GPS went off. Realized I had been flying too low. I was at the altitude of 1;000 ft. for probably 5 minutes before the alert popped up. Upon receiving the alert; I applied power and began to climb.",,,,"C172 pilot reported terrain alert while in cruise.",
1976438,202302,1201-1800,ZZZ.TRACON,US,,,,800,,VMC,,,Daylight,,,,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,None,Training,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 132; Flight Crew Total 925; Flight Crew Type 366,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1976438,,,,,,,,,,,,Conflict NMAC,,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Procedure,"While a student was on a first solo in the traffic pattern Aircraft Y reported 3 miles south of the field inbound to land Runway XX. While my student made the call to turn left downwind I noticed that Aircraft Y was directly above my student on the left downwind as well. I told Aircraft Y to not descend because of my student below him; but he did not respond; instead; he continued his left downwind for Runway XX; only extending his downwind after I told him to over the radio. My student then executed a go-around for Runway XX while Aircraft Y landed. As my student lined up for short final on XX again; Aircraft Y began rolling out to the runway getting ready to takeoff. I promptly told him to stop moving; as my student was about to land. I then spoke to the pilot of Aircraft Y and asked him why he was flying recklessly. He then stated that he did not see my student on ADS-B and that my student was not making radio calls; both are false statements. He then denied that what he did was reckless; and then promptly took off and headed southeast of ZZZ.",,,,"Flight Instructor reported an NMAC event during landing pattern training which resulted in the student executing a go-around to avoid a collision. The conflict Pilot stated no radio calls were heard.",
1976475,202302,1201-1800,DOV.TRACON,DE,033,15,,6000,,VMC,10,,Daylight,12000,,TRACON DOV,FBO,Small Aircraft,,2,Part 91,IFR,Training,,Cruise,Airway V1,Class E DOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Cruise,,Class E DOV,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Other CFII,Flight Crew Last 90 Days 112; Flight Crew Total 505; Flight Crew Type 287,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1976475,,,,,,,,,,,,ATC Issue All Types; Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Vertical 300,,Automation Aircraft TA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Procedure; Human Factors,Human Factors,"On a IFR training flight to ZZZ was along V1 north of ATR VOR. did not receive any traffic advisory from ATC regarding traffic coming opposite direction. I received a traffic alert from ADS-B IN equipment reporting traffic 300 ft. below. I immediately told ATC I was deviating from assigned altitude climbing for traffic 300 ft. below. The deviation from assigned altitude +500 feet.",,,,"Flight Instructor on IFR training flight with student reported NMAC with another aircraft in cruise.",
1976478,202302,,LGA.Airport,NY,,,0,,,Mixed,Icing; Snow; Rain,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Total 19500,,Troubleshooting; Communication Breakdown,Party1 Flight Crew; Party2 Other,,1976478,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Weather / Turbulence,,N,Person Flight Crew,,General None Reported / Taken,Airport; Chart Or Publication; Weather,Chart Or Publication,"The portion of LGA's Runway 4/22 that is north of the crossing Runway 13/31 is supported by a pier over water. This portion of Runway 4/22 is exactly like a roadway bridge whereby it freezes before the portion of the road on grade. This elevated runway portion freezes before the rest of the runway; which is on grade and not exposed to wind and water from underneath in cold temperatures. This is particularly hazardous for large/heavy type jet aircraft landing on Runway 4. If the aircraft is not slowed to a safe runway turnoff speed by the time it crosses Runway 13/31; the braking action may be severely reduced due to the phenomenon described above. The north portion of Runway 22 prior to Runway 13/31 is also hazardous to any sized aircraft landing Runway 22 as this is the touchdown zone; a time critical for aircraft directional control. I can find no written warning of this hazard in any company or FAA or other government source to warn pilots of this hazard. Experienced pilots operating at LGA know of this; and Captains and check air-pilots warn newer pilots about this phenomenon; and word of mouth seems to be the only way this critical safety information is disseminated. Please name a note of this phenomenon on the 10-9 pages for LGA; and any other runway in the U.S. airspace system that has a structure-elevated runway.",,,,"Air carrier Captain reported a frequent runway icing hazard on LGA's runway 04-22 that is not depicted in charts or NOTAMs. The Captain states that due to the unique construction of the elevated runway over water; a section of the runway freezes earlier than the rest creating a reduced braking action hazard.",
1976486,202302,0601-1200,ZZZ.Airport,US,,2.5,,2200,,VMC,10,,,,,CTAF ZZZ,FBO,Skyhawk 172/Cutlass 172,,2,Part 91,None,Training,,Initial Approach,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna Aircraft Undifferentiated or Other Model,,,Part 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Flying; CPL student,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 40; Flight Crew Total 411; Flight Crew Type 411,,Situational Awareness,,,1976486,,,,,,,,,,,,Conflict NMAC,Horizontal 0; Vertical 250,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"I'm a student pilot with PPL and IR training for a commercial pilot certificate. Was flying a practice medical diversion into ZZZ with my instructor in preparation for an upcoming FAA checkride. Was on CTAF on COMM 1 and monitoring ZZZ Departure in the COMM 2; and I was making radio calls as normal to join the 45 degree entry to the left downwind to Runway XX. Instructor was scanning; and while I was paying as much attention outside as possible; I was preoccupied with the diversion and focusing on finding the airport; making calls; scanning the traffic pattern for other aircraft; etc. My instructor suddenly exclaimed; and I looked up to see another aircraft (a GA aircraft that might have been a Cessna of some sort) heading toward us straight on and probably 200-300 feet above us. I instinctively banked right to avoid them since they were coming from the left (my side of the aircraft in the left seat); but they had passed over us within 2-3 seconds. I continued the practice diversion to a landing and tried transmitting on guard after departing again but could not get ahold of any ATC.",,,,"Pilot on training flight with Instructor reported NMAC with another aircraft while entering airport traffic pattern for landing.",
1976495,202302,1201-1800,ZZZ.ARTCC,US,,,,13500,,VMC,40,,Daylight,16000,,,Personal,Cessna Citation Mustang (C510),,2,Part 91,IFR,Personal,,Descent,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Multiengine,Air Traffic Control Supervisory 21; Flight Crew Last 90 Days 60; Flight Crew Total 3455; Flight Crew Type 90,,Situational Awareness,,,1976495,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,Vertical 400,,Person Flight Crew,,Flight Crew Took Evasive Action,Human Factors; Procedure,Human Factors,"Event occurred in VMC conditions. Was descending to 14000 cleared direct to ZZZZZ RNAV (GPS) Runway X ZZZ. I had programed a profile believing I was cleared for the approach. ATC informed me that I was below the MEA and immediately began a climb to correct to 14000 ft. Since I was below 18000 ft. and in VMC with the airport in sight I canceled IFR and continued to ZZZ. I believed I had been cleared for the approach direct ZZZZZ. I did not intend to begin a un authorized descent. I will specifically confirm that I have been cleared for the approach during future flights.",,,,"C510 Pilot reported an NMAC event during approach by descending from assigned altitude before confirming they were cleared to descend.",
1976528,202302,1201-1800,SCT.TRACON,CA,,,,5000,,,,,,,,TRACON SCT,Personal,Cessna Single Piston Undifferentiated or Other Model,,1,Part 91,IFR,Personal,,Cruise,Vectors,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 13,,Situational Awareness; Workload,,,1976528,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,,Human Factors; Procedure; Airspace Structure; Chart Or Publication,Airspace Structure,"Aircraft was vectored by Point Mugu into higher MVA (Minimum Vector Area). MVA awareness when making request.",,,,"TRACON Controller observed an underlying facility vector an aircraft below the Minimum Vectoring Altitude for the area.",
1976593,202302,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,,,,Ramp ZZZ,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 139; Flight Crew Total 14773; Flight Crew Type 228,,Time Pressure; Workload,,,1976593,,,,,,,,,,,,Conflict Ground Conflict; Critical,,,Person Flight Crew,Taxi,Flight Crew Overcame Equipment Problem; Flight Crew Took Evasive Action,Human Factors; Procedure,Procedure,"Vehicle crosses under nose. Upon turning into Gate after landing; we had marshallers to call the area clear for taxi into the gate. Someone in a small truck decided to gun it; and beat us across the gate area. Well; he won that battle because if he didn't the context of this report would be significantly different. So; let's find that guy and educate him. And; also perhaps include the ramp crew clearing us into the gate; who at no time signaled us to stop or that the area was not clear. I suppose this is typical behavior in ZZZ; so I should simply expect it. However; I don't believe it is SOP; and maybe it would be a good idea if ZZZ ground handling paid a bit more attention to it.",,,,"Air carrier Captain reported a critical ground conflict during gate parking while following the directions of the marshaling crew. No stop signal was provided when a truck cut across the path of the aircraft.",
1976601,202302,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Other / Unknown,Party1 Flight Crew; Party2 Ground Personnel,,1976601,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,,Aircraft In Service At Gate; Routine Inspection,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,"Location of Dangerous Goods not specified. 5 items of Dangerous Goods (DG) loaded onto our aircraft. The final DG summary printed via ACARS printer no cargo bin location listed for these 5 items specified on the report. We had to query ground ops personnel to ascertain location of DG items who told us 'pit #4'. This should be glaringly obvious to the flight crew so that in the event of an emergency we have that information readily available. We should not need to ask.",,,,"Air carrier Captain reported the Final DG Summary provided to flight crew was missing required Hazmat location information. Captain contacted Operations to obtain the missing location prior to departure.",
1976618,202302,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Training / Qualification; Time Pressure; Other / Unknown; Communication Breakdown; Troubleshooting,Party1 Ground Personnel; Party2 Other,,1976618,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Ground Personnel,Aircraft In Service At Gate; Routine Inspection,,Human Factors,Human Factors,"I was forced to be a main line lead which i have no idea what i am doing to close them out. I had Aircraft X to [close out] on [Gate] XX and I had an issue where my Dangerous Goods was not showing on it.",,,,"Air carrier Ramp Agent reported being assigned to the Main Line Lead position; a position in which he is not qualified. The Ramp Agent was unable to close out the Final DG summary for the flights departure.",
1976622,202302,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Other / Unknown,,,,Communication Breakdown; Other / Unknown,Party1 Ground Personnel; Party2 Other,,1976622,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance,,,,Aircraft In Service At Gate; Routine Inspection,,Human Factors; Procedure,Human Factors,"We received communication from cargo safety stating a cargo container that was to be held off for unverified weight was loaded.  No significant weight change was generated after weights were revised but the final weight on this particular shipment was not verified by [Company] agents. In addition; the shipment was held off with an [appropriate code]; hold off code and never planned into a pit position but the container was still loaded by [company weight and balance]. The shipment had no indication of DG on board but it was never verified by [company freight].Freight or Mail?: FreightTotal Weight Difference in LBs : 802Type of Discrepancy: Item was loaded but shows held off on DSTG.Details: Item shows held off however the unit was loaded on the flight.",,,,"Air carrier Ground Personnel reported the undocumented air transport of Hazmat cargo. A communication breakdown between company departments regarding loading or not loading the Hazmat cargo resulted in a hazmat violation.",
1976664,202302,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting; Workload,,,1976664,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; General Evacuated; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"During the take-off roll and prior to 80 kts. we received an COMP MON Caution Message. The Captain initiated a low speed abort. As we turned off the runway the strong odor of fumes became present in the cockpit. Shortly thereafter ZZZ Tower informed us of smoke coming from the aircraft. Once we were straight on the taxiway Tower advised the smoke was from the Left Engine. The aircraft was taxied onto the ramp a safe distance from the terminal and brought to a stop. At this time the crew initiated the passenger evacuation checklist. Once complete; I exited the aircraft and began directing foot traffic and assisted passenger egress. Once all passengers were off; I returned up the stairs to check all passengers clear of the aircraft. Fire trucks were stationed close by and there was no further indication of fire/smoke. It was decided to move the aircraft to a suitable location for further inspection and this was accomplished without any issues. I did note during the start sequence the starter did not engage on 2 attempts on the left engine. The engine started normally on the third attempt with all indications being normal.",,,,"CRJ200 Captain reported a low speed rejected take-off due to an EFIS COMP MON caution message. Tower advised the Left Engine was smoking which prompted a passenger evacuation which was completed safely.",
1976665,202302,1801-2400,ZZZ.ARTCC,US,,,,34000,,VMC,,,Daylight,,,Center ZZZ,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Stall Warning System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Troubleshooting; Distraction,Party1 Flight Crew; Party2 Dispatch,,1976665,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution; Flight Crew Diverted,Aircraft; Procedure,Aircraft,"At FL340 en-route to ZZZ1; level flight; constant airspeed; the Stall Fail caution; Stick Shaker Wobbler aural warning came on instantaneously with the autopilot disengaging. Evaluating the situation and crosschecking instruments; I noticed unchanged airspeed; altitude; engine power. With the wobbler indicating an imminent stick pusher; I disarmed my stall pusher and prompted the First Officer (FO) to do the same. The FO was hand-flying the aircraft at that point; not deviating from the altitude. I also noted on my airspeed band high and low-speed Barber poles overlapping. I asked ATC for a block altitude. I then transferred the radios to my FO and ran the QRH for Stall Fail confirming the deselection of the Stall; Stick Pusher. The Stick Shaker contented with an occasional wobbler. The AutoPilot did not reengage. ATC accommodated our requests promptly. I elected to return back to ZZZ. I briefed the Flight Attendants (FA) on the situation and they briefed the passengers; with the note that later; workload permitting I will address the passengers again. Additionally I tried to contact Dispatch/Maintenance via AIRINC multiple times; to get guidance to immobilize the continuous stick-shaker. I also looked through the QRH again; not finding a procedure to immobilize the continuous stick-shaker. The AIRINC connection was garbled and unreadable. I tried to contact dispatch via ACARS to get a different AIRINC Frequency and possibly a circuit breaker location to disable the stick-shaker with no results. Dispatch sent a VOR frequency; a ZZZ Center frequency; and eventually the AIRINC frequency that we tried on the initial contact. Additionally I received multiple ACARS. ATC at some point asked; and I explained our situation. Since maneuvering of the aircraft and its performance as well as; all indications including airspeed were working; I did not request priority handling. My First Officer did an excellent job keeping the aircraft within altitude; airspeed and heading; even though we encountered moderate turbulence at some point. ATC accommodated all our requests and requesting priority handling at that point would have not changed the course of action that we were taking. I did keep in mind that the option of requesting priority handling is available if needed and would not hesitate to do so. I also briefed the passengers via the PA and communicated all necessary information to the Flight Attendants. At around 16;000 feet; the stick shaker stopped intermittently; with the occasional wobbler; and eventually subsided at around 8;000 feet. We landed without an incident.At the gate I deplaned the passengers; making additional PA's passing on information. After that I contacted maintenance to make a write up and explained the issue. Maintenance personal entered the aircraft during the call and I explained again in detail what the issue was. During deplaning and with maintenance onboard crew scheduling contacted me multiple times with schedule changes; even thought I indicated during the first conversation that I will call them back after completing this flight. After a self evaluation and looking back at the workload that we encountered I decided not to take an additional flight that day. At one of the calls from scheduling I asked to be connected to the Chief Pilot and discuss this with him. On a subsequent call I was connected to the Chief Pilot and after a short conversation was placed on hold for that day.After the flight I had discussions with other pilots and an instructor/pilot Training department. I reevaluated my decision to not request priority handling and came to the conclusion that; even though requesting priority handling would have not changed the outcome or workload in this situation; It would have been a better choice. In the future I will take this into consideration. During the flight I attempted to contact dispatch via frequency. The communication was garbled and unreadable. I ACARS dispatch and ask for an alternate AIRINC frequency. Dispatch sent multiple ATC Center frequencies and a VOR frequencies. The procedure for AIRINC should be reviewed with dispatch as well as the radio issues with AIRINC. To my knowledge there is no procedure in the QRH that addresses immobilizing an erroneous stick shaker; I tried to resolve this by involving a maintenance controller via AIRINC or ACARS with no results from dispatch. A standardization in abbreviated texts or phrases to use on ACARS between dispatch and pilots might have solved this. After the flight the workload was still high; deplaning; answering questions from passengers; making a maintenance write up and explaining to maintenance personal that come on board. During this time I received multiple calls. Some were from dispatch; which I felt were necessary; but also from crew scheduling which addressed schedule issues later in the day. On the initial call from scheduling I explained that I was busy and will call them back. I received multiple; additional calls from them; which became distracting.",,,,"CRJ-900 flight crew reported a malfunction with the Stall Warning system in cruise flight.",
1976681,202302,1201-1800,ZZZ.Tower,US,,,,2000,,Marginal,,,,,,Tower ZZZ,Air Carrier,A319,,2,Part 121,,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,1976681,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,1976933,Airspace Violation All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,Automation Air Traffic Control; Automation Aircraft Terrain Warning; Person Air Traffic Control; Person Flight Crew,In-flight,Flight Crew FLC complied w / Automation / Advisory,Human Factors; Weather,Human Factors,"This narrative is in regard to an approach into ZZZ XXR. I was the PM on Aircraft X ZZZ1 to ZZZ. We were vectored on a right base at 2000 ft. for a visual backed up by the ILS V XXR. Approach initially asked for the visibility into ZZZ to ascertain if visibility was sufficient to proceed with a visual approach. I stated that the visibility was between 7 to 10 NM. We were initially cleared for the ILS V XXR and shortly thereafter my First Officer (FO) Pilot flying (PF) stated they were visual with the field and would like the visual to XXR. I relayed to Approach and we were subsequently cleared for the visual to XXR. Shortly after being cleared for the visual I mentioned that 1500 ft. would keep us within the Class B airspace. Rolling out on final a thin cloud layer had developed; obscuring the field. In an attempt to maintain visual with the field my FO (PF) selected an approximately 1100 FPM rate of descent followed almost immediately by the Airbus altitude horn. At approximately 1500 ft. I realized that the altitude in the window had been rolled down to 100 ft. At which point I (PM) stated 'you're low; level off.' The lowest altitude I noted real-time was approximately 1100 ft. MSL. I then called for a climb to 1500 ft. to re-establish ourselves in the Class B. Within a few seconds of initiating a level off and subsequent climb we received a low altitude alert from ZZZ Approach. After leveling off at 1500 ft. the configuration and remainder of the approach was unremarkable. Weather (marginal conditions for a visual approach); complacency; decision-making; assertiveness. As Captain and PM I should have encouraged the PF to stick with the ILS approach. I also should have been quicker to recognize 100 ft. being set in the altitude paired with a call to climb sooner.",,"This narrative is in regard to an approach into ZZZ XXR. I was the Pilot flying (PF) on Aircraft X ZZZ1 to ZZZ. We were vectored on a right base at 2000 ft. for a visual backed up by the ILS V XXR. Approach initially asked us for the visibility at ZZZ to verify we had the visibility to proceed with a visual approach. The PM correctly stated that the visibility was between 7 to 10 NM. We were initially cleared for the ILS V XXR and shortly thereafter I stated I had the field in sight and could accept the visual to XXR. The PM let Approach know and we were subsequently cleared for the visual to XXR. Shortly after being cleared for the visual the PM stated 1500 ft. would keep us within the Class B airspace. Rolling out on final a thin cloud layer had developed; obscuring the field and in my attempt to maintain visual with the field and not enter the clouds; I selected an approximately 1100 RPM rate of descent followed almost immediately by the altitude horn. At or below 1500 ft. I was able to remain clear of the clouds and leveled off as the PF called to level off. The PM then called for a climb to 1500 ft. to re-establish ourselves in the Class B; which I corrected for ASAP. Within a few seconds of initiating a level off and subsequent climb; we received a low altitude alert from ZZZ Approach. After leveling off at 1500 ft. and re-establishing our visual status with the field; the remainder of the approach was conducted per standard operating procedures. First; I should have told the PM we would simply continue with the ILS rather than try to accept a visual we had not discussed at that point on the approach. Additionally; when I accepted the visual approach; I should have entered the Class B altitude of 1500.",,"A319 flight crew reported receiving a low altitude alert from ATC while on a visual approach.",
